ID,Upvotes,Submission Date,Status,est_dev_time_days,complexity_score,num_teams_required,resource_cost_usd,infra_dependencies_count,tech_risk_score,design_effort_days,qa_effort_days,deployment_complexity,integration_needed,business_impact_score,user_demand_score,customer_satisfaction_impact,time_saved_per_user_minutes,num_users_impacted,market_differentiation_score,revenue_potential_usd,cost_savings_usd,scalability_potential_score,feature_adoption_likelihood,aligns_with_okrs,supports_key_initiative,compliance_or_regulatory_benefit,innovation_score,executive_priority_flag,strategic_timeline_alignment,mission_critical_flag,long_term_value_score,Title,Description,Cost_Score,ROI_Score,SA_Score
850b3732-8b15-40e0-b2d3-26dab13275c4,52,2024-07-03,Completed,145,4,4,33379,5,5,15,7,Low,False,2,10,2,50,60707,4,882576,274638,4,5,True,Sustainability,True,1,True,False,False,4,Self-Healing Discover Agent,Self-Healing Discover Agent is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.4994188600717141,0.6781351386968844,0.4317279189581417
2edebc32-8b23-40b8-bda4-e73f1e34b46a,10,2024-11-23,In Progress,62,4,2,105944,0,4,24,30,Low,True,3,5,4,6,62143,1,739062,130868,3,5,False,Automation,False,3,False,True,False,3,Self-Healing Mouth Service,Self-Healing Mouth Service is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.5068880125397608,0.4401975065353274,0.2880373696597834
7445209c-df21-434b-ab3b-da13d0b152c4,343,2024-11-07,In Progress,167,2,3,152072,1,3,7,11,Low,True,4,5,1,20,26567,4,265334,63755,4,2,True,AI,False,2,True,True,False,3,Self-Healing Agreement Bot,Self-Healing Agreement Bot is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4867297690237414,0.2994903997373376,0.4251082809126719
cabefc24-edc4-4960-9812-028990fd9518,207,2025-01-07,On Hold,86,2,2,20164,4,3,5,30,Medium,False,3,3,2,27,91663,1,307737,48175,1,3,True,,False,3,True,True,False,2,Intelligent Decide Platform,Intelligent Decide Platform is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.3275210973815453,0.3435535665962894,0.4980640510496451
4e0059ff-2360-465d-8977-2b3a8d333f68,284,2025-01-01,Completed,159,1,4,113144,3,4,23,30,Low,False,9,6,2,14,68808,3,320478,369186,3,4,False,Automation,False,3,False,True,False,3,Smart Rate Bot,Smart Rate Bot is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.6246243438801938,0.533198691539789,0.3970248285758965
fafea41f-c952-4f5e-b858-03a3285037c6,361,2024-09-13,Proposed,118,4,3,125498,1,1,19,7,High,True,8,7,5,18,63874,2,407391,422661,4,5,True,Automation,False,4,True,True,False,1,AI-Powered Offer Dashboard,AI-Powered Offer Dashboard is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.4836464428039108,0.6204214829851854,0.4714402294153532
6376a712-754c-420a-9676-bab9c784ace1,423,2024-09-25,On Hold,82,1,4,155881,3,2,23,38,Low,False,4,6,4,16,41224,1,948057,339112,1,2,True,AI,False,1,False,True,False,3,Automated Discussion Manager,Automated Discussion Manager is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5790629407968418,0.4846681119240907,0.3848792311650086
9ebf2741-a4ab-48f9-b151-1e38e97934e1,52,2024-07-21,In Progress,137,4,4,28515,4,5,25,38,High,True,5,1,1,54,43898,4,565500,361511,2,3,True,Sustainability,False,1,True,True,False,3,Automated Perform Bot,Automated Perform Bot is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.6872195710762367,0.5164469228695436,0.4609555576581041
219f4eed-bd40-4c93-b9f2-e73b5ade7eba,320,2025-03-07,Proposed,27,5,4,169930,5,3,18,39,Medium,True,3,7,3,28,79942,5,254845,146711,5,3,False,AI,False,4,True,False,True,4,Intelligent Table System,Intelligent Table System is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.651999805036286,0.5077976931870594,0.5961939691683759
eb06f3bb-a352-4437-8c4f-a6fc8f9efacd,248,2025-01-23,On Hold,174,2,4,154139,3,5,21,44,Low,True,5,8,4,13,203,2,276805,483885,5,3,True,AI,True,3,False,False,True,1,Intelligent According Agent,Intelligent According Agent is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.7821631067668239,0.4591064204102627,0.3677303192660159
0e729548-a703-4647-8192-753996a4554e,92,2024-06-05,On Hold,97,3,4,133691,5,5,22,34,Low,True,8,2,3,35,53484,2,390036,401553,4,4,True,Sustainability,True,3,False,True,True,4,AI-Powered Sure System,AI-Powered Sure System is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.6946095397918505,0.5485772420612377,0.6076287687795943
e6ca2aa1-5d82-4844-8e02-8281c122b03a,296,2024-09-15,In Progress,69,2,2,148433,5,3,10,19,Low,True,7,5,3,19,59379,3,822057,220148,2,3,False,Sustainability,False,1,False,True,True,3,AI-Powered Save Bot,AI-Powered Save Bot is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.4685128049370167,0.5195960258452754,0.2902515143754914
bde3f490-38e9-4459-a738-ed277df13948,500,2024-07-20,Completed,167,3,4,79650,1,2,14,18,Low,True,2,6,4,36,67386,5,369585,249206,5,3,True,AI,False,3,True,True,False,3,Self-Healing Grow Manager,Self-Healing Grow Manager is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4972954557518537,0.5543613226855744,0.5029086713958073
4cb28ad2-b68f-443d-bc01-2e04f6df3788,108,2024-06-26,Completed,116,1,2,9493,5,2,26,12,High,False,5,5,4,31,29948,1,361938,253992,3,2,False,Automation,True,2,True,True,True,1,Cloud-Based Clearly Assistant,Cloud-Based Clearly Assistant is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.4081464932414494,0.4069195075671698,0.5085008879201958
219d39e4-2463-46ad-a9c5-8463d3f5c8e0,410,2024-08-12,Proposed,124,1,3,170900,3,5,30,37,Medium,False,6,1,2,26,82564,3,425592,286658,3,1,False,Automation,True,3,False,True,True,3,AI-Powered Source Assistant,AI-Powered Source Assistant is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.7092548661072644,0.4602435599776001,0.4900803556727474
830a9224-50b5-4f42-8b99-d193907c8828,139,2024-05-10,In Progress,147,1,2,123367,0,3,21,24,High,False,6,4,2,31,4327,2,639834,120425,1,2,True,,False,2,False,False,False,3,Automated Blue Dashboard,Automated Blue Dashboard is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5092764407411671,0.3247042940957614,0.2819746099170853
2aefcb74-f8d1-43f9-84bb-ca4f93322cc0,170,2024-05-11,Completed,99,3,2,143275,5,3,6,30,Medium,False,10,9,5,22,12298,5,887212,258425,2,2,False,Automation,False,2,False,False,True,2,Zero-Touch Husband Dashboard,Zero-Touch Husband Dashboard is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.5085272181396342,0.5773639884406861,0.2599082375578748
8e7de616-52e2-4898-ba33-20111e6b13b0,16,2025-02-27,In Progress,89,5,3,29507,3,1,25,45,High,True,5,2,3,24,43440,4,911915,176697,5,4,True,Automation,False,5,False,True,False,4,AI-Powered Her Analyzer,AI-Powered Her Analyzer is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5783951164714642,0.5264765874819524,0.6040984832671029
32030696-a1c7-434f-a86f-655b7d66f87e,417,2024-11-24,Proposed,46,3,4,48368,5,2,16,19,Low,False,6,10,5,18,16710,1,19838,473462,3,5,True,AI,True,4,True,False,True,4,Cloud-Based Guy Dashboard,Cloud-Based Guy Dashboard is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.386997900724766,0.481228838115936,0.5342333505629345
a84cdcdb-06ce-4477-b0d1-82633585fb04,100,2025-02-11,Proposed,129,3,1,91584,0,5,11,38,Medium,True,1,4,5,24,39309,4,816112,415802,3,2,False,Automation,False,3,False,False,False,5,Predictive Everything Analyzer,Predictive Everything Analyzer is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5035682245806747,0.5393466465794635,0.4085723762622358
26cbf5fc-b57d-4013-93ea-5d5ea84713f4,321,2025-01-12,Completed,115,3,4,165812,1,3,12,43,High,True,7,10,3,59,64047,2,669324,345547,4,1,False,Sustainability,True,1,True,True,True,3,Predictive Animal System,Predictive Animal System is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.6475973771725596,0.6738562034958588,0.4356420792969912
df916e7f-7f29-4ead-8c92-f94de2a438fc,389,2024-10-29,In Progress,143,1,3,159167,3,2,20,37,Low,True,1,2,4,43,18541,4,739781,372031,4,2,False,,True,1,True,True,True,2,Cloud-Based Machine Manager,Cloud-Based Machine Manager is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.6362925772334648,0.5061567308194868,0.5351247095544878
ab947c09-5251-4aa6-b0ec-02a911736b1a,54,2025-03-28,On Hold,16,2,3,164099,4,4,19,11,High,False,10,4,4,11,16821,2,494482,329227,2,1,False,Automation,True,2,False,True,False,5,Automated Capital Analyzer,Automated Capital Analyzer is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.4630309469482258,0.4065430246837889,0.4047232332557148
f146f68c-ca1d-4648-aeeb-7772bf82515c,359,2024-05-04,Completed,75,4,1,75100,0,2,29,10,High,True,1,10,2,47,56111,2,825324,69329,3,2,True,,False,1,False,True,True,2,Zero-Touch Human Bot,Zero-Touch Human Bot is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.4163968118065886,0.496463829204677,0.2537990792866879
c0ed0408-0ac3-4df1-b857-fcde0956e0f7,8,2024-07-26,In Progress,53,4,1,55816,2,1,5,21,Low,False,3,2,5,20,59358,4,789198,390162,2,4,False,,True,1,True,False,True,3,Zero-Touch Old System,Zero-Touch Old System is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.2459673497341968,0.5628305169803698,0.3229351651975534
de076137-22ab-4669-9cf0-9578a51e2bcb,436,2024-12-04,Completed,133,3,1,45577,0,2,17,45,Low,False,1,1,3,54,89104,3,416526,344883,4,3,False,AI,False,2,False,True,False,5,Intelligent Themselves Service,Intelligent Themselves Service is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.4476851948972825,0.5644172905214515,0.4648224235283882
1258b1e9-daa6-4e2d-a15e-d29a93b71b4a,314,2025-03-13,Proposed,19,1,4,173665,4,2,28,21,Low,False,1,10,2,19,85660,5,186424,26695,4,5,False,Sustainability,True,1,True,True,False,4,Smart Present Dashboard,Smart Present Dashboard is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.508930939701105,0.4536676700519439,0.5313106320681596
a29674e3-b4de-49e2-9061-cf340a4c6983,306,2024-08-22,On Hold,179,5,2,160119,0,4,11,33,Low,False,3,9,1,7,68867,3,947822,141302,5,4,True,,True,5,True,True,False,5,Automated Training Optimizer,Automated Training Optimizer is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.6243122642786619,0.5267695815304086,0.7449258013899169
d9889053-549d-4f95-9f80-812062fc5f62,320,2024-06-17,Completed,24,2,3,12720,5,4,23,40,High,False,10,8,1,35,2933,2,12151,204666,3,3,True,,False,5,True,False,True,5,Automated Participant Bot,Automated Participant Bot is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4632658974146239,0.3597777392816305,0.6900556342692947
652a01fe-bb78-4f8c-952d-9c078b42c59d,365,2024-05-01,Completed,139,1,1,143946,2,1,24,32,Medium,True,9,6,5,14,84457,1,344429,344149,5,1,True,Sustainability,True,1,False,False,False,2,AI-Powered Sea Platform,AI-Powered Sea Platform is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.5522043690271108,0.554410804415872,0.2397999934392927
4901bfd0-7718-457c-a6fe-7f7facccd4d7,187,2024-12-16,Completed,18,1,3,166998,3,3,24,6,High,True,6,1,1,53,22878,4,577833,261211,2,1,True,,True,3,False,True,True,1,Cloud-Based Answer Dashboard,Cloud-Based Answer Dashboard is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.4514677596783357,0.4305724510463545,0.3686246738666567
755685df-1688-4d3f-9887-9570093ad074,457,2025-01-29,On Hold,112,2,4,138963,2,5,17,35,Low,True,8,7,4,17,59523,4,670631,297875,3,4,True,Automation,True,5,True,False,False,2,Automated Drive Dashboard,Automated Drive Dashboard is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.6245181172801774,0.5976284086263284,0.4473546752544508
c44169a0-8c93-4042-9345-9ca21d1dbe9f,246,2024-05-04,Completed,61,4,2,69309,3,5,13,15,Low,True,4,5,4,32,63986,4,139407,218571,5,4,False,Sustainability,True,5,True,True,False,5,Zero-Touch Figure Analyzer,Zero-Touch Figure Analyzer is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4160340747413626,0.5013636088162056,0.7756160622676731
cc0cd3f9-8954-4d98-8d30-bb93c644127d,416,2024-07-03,Proposed,56,4,2,22758,2,3,17,38,Medium,True,9,4,5,44,3214,3,455684,174124,2,5,True,Automation,True,4,True,False,False,5,Smart Top System,Smart Top System is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.4211901680569643,0.47718135688227,0.6048157252366838
634655a4-1788-4f3b-b3e1-524f2df42fc8,314,2024-05-13,Proposed,58,5,1,171026,4,5,17,39,Low,True,4,8,5,32,87525,4,594230,345428,3,1,False,Sustainability,False,1,True,True,True,5,Automated Trial System,Automated Trial System is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.6454002758720827,0.6288920776633626,0.5911668988104534
368021bf-733c-45bf-a89c-51251f410ae1,298,2024-07-20,In Progress,162,5,1,35993,2,4,24,20,Low,False,5,3,4,52,47406,3,484093,459570,1,2,False,AI,True,1,False,False,True,5,Smart Husband Service,Smart Husband Service is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.5193178048206538,0.5556319242834317,0.4801007594063482
5b4a4932-1438-4dd5-92f9-d4778f66e739,36,2024-12-06,Proposed,73,3,1,93827,2,5,11,10,Medium,False,9,5,2,5,9018,3,536609,418180,4,3,True,Automation,True,4,True,False,True,2,Predictive Long Platform,Predictive Long Platform is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.3486555100098546,0.4558370872815754,0.5339519770154582
3ee5c6cd-c367-4e37-916e-6cbdc326f9c2,106,2024-08-23,In Progress,152,1,1,48940,3,4,9,17,Low,True,2,1,3,49,57678,3,678959,60510,2,5,True,Sustainability,False,2,False,True,True,3,Self-Healing They Bot,Self-Healing They Bot is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.3940230920959345,0.4574156624618056,0.5227500632886282
27976f2b-30c8-4747-b130-f76f4325b82c,381,2024-08-25,Completed,151,3,2,198252,2,2,16,18,High,False,5,9,4,39,43449,2,672431,216970,3,2,False,Sustainability,True,5,False,False,True,1,Predictive Commercial System,Predictive Commercial System is focused on enhancing automation and intelligent decision-making. It delivers tangible business value by embedding innovation in the AI ecosystem through intelligent tooling or insights.,0.5922976205455758,0.5355362872116375,0.4096223030867773
54cee994-5902-41e1-bc43-240ca4ceed63,262,2024-06-24,In Progress,150,3,3,126349,1,1,22,14,High,True,6,9,2,43,44723,1,129517,29338,1,5,False,Sustainability,True,2,False,True,True,4,Zero-Touch Hear Service,Zero-Touch Hear Service is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5455061439982457,0.380285097825931,0.5204468317546085
0374a2dc-ce10-465a-a2f9-408c40cd8982,262,2024-07-16,On Hold,146,3,2,146548,4,2,19,24,Low,False,3,8,1,54,27599,1,957733,330390,3,5,True,AI,True,3,False,False,True,5,Cloud-Based Religious Optimizer,Cloud-Based Religious Optimizer is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5834495800218538,0.5888987756432864,0.5724247809703942
d8fb5954-e5ea-4ee7-bdd6-3b0f4e3a7683,396,2025-04-02,On Hold,164,5,2,33233,5,5,18,35,High,False,3,1,4,9,51982,5,98298,168551,1,2,True,Automation,False,1,True,False,False,5,Cloud-Based Science Optimizer,Cloud-Based Science Optimizer is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.6463371704642047,0.2900081529458835,0.3700984129904945
d6d4b261-204d-4bf8-bf42-857fb51324b6,211,2024-12-11,In Progress,32,1,3,94888,5,4,12,37,High,False,6,10,4,40,81946,3,146462,456314,3,5,False,Automation,False,3,True,True,False,5,Self-Healing Result Assistant,Self-Healing Result Assistant is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.4649194313100533,0.6681719226904507,0.51629444815067
cbc6e32e-ec2f-485f-a1d1-09530230e5e7,496,2024-11-26,Completed,80,1,2,11959,3,3,30,6,Low,True,7,3,2,53,23430,2,811267,156445,3,2,True,Sustainability,False,1,False,False,False,4,Automated Away Agent,Automated Away Agent is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.3557071590511674,0.4751146927903105,0.2500082010646042
897217f3-e728-4aee-aa09-0c5ed3cabe0f,330,2024-06-09,Proposed,32,1,3,150823,1,5,16,25,High,True,10,10,1,24,3939,2,540090,183778,5,4,True,Sustainability,True,2,True,False,False,2,Predictive Prove Platform,Predictive Prove Platform is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4749481305191669,0.4709332897089519,0.3890165021030691
638e4792-f888-4f89-b8fa-1cff92258b1d,439,2025-01-12,In Progress,91,1,4,196050,1,4,22,24,High,False,8,4,1,50,81533,2,588791,300570,3,2,True,Sustainability,True,3,False,True,True,4,Cloud-Based None Dashboard,Cloud-Based None Dashboard is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.5951623632680014,0.5799450442862298,0.6076287687795943
d96f6dd4-2e96-4ba0-a4e3-83458afd1dab,305,2024-06-06,In Progress,147,4,3,103074,3,1,14,23,Low,True,7,9,4,59,52730,1,48642,75451,4,1,True,,False,4,True,False,False,3,Smart Election System,Smart Election System is focused on reducing manual workload through smart automation. It delivers tangible business value by embedding innovation in the Automation ecosystem through intelligent tooling or insights.,0.534319357992301,0.4567947342297722,0.5089915090639969
24c11308-b284-4921-8bb6-0adc52fe958a,185,2024-08-29,Completed,19,4,1,172712,2,5,7,22,Medium,False,9,1,2,43,95250,2,979636,471744,2,5,False,,False,2,True,True,False,5,Automated Maintain System,Automated Maintain System is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4086005007589656,0.72701448840652,0.3918394836857637
a4e0d018-e636-4d43-a019-0c8ff6b08d40,295,2025-03-29,Completed,37,5,3,33792,3,1,24,24,High,False,8,5,2,50,88832,2,517763,477119,4,2,False,,True,2,True,True,False,2,Automated Expect Manager,Automated Expect Manager is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.4171516811314404,0.6753957948238387,0.3758691018494048
9ee262ba-88ea-43f3-8dd0-d07de9ea2f2b,463,2024-12-27,In Progress,65,4,4,133524,1,2,26,24,Medium,False,7,6,1,30,60513,1,618790,121966,3,5,True,Automation,True,2,False,False,True,1,Zero-Touch Push Bot,Zero-Touch Push Bot is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.5228018253399429,0.4788125396901546,0.3375020566295368
7415ec06-93ad-4d0a-9291-18e2bbff65d7,91,2024-06-28,Completed,174,1,4,190264,4,5,15,20,Medium,False,8,1,5,6,47790,5,615752,45804,5,1,False,Sustainability,False,4,True,True,True,3,Smart Onto System,Smart Onto System is focused on streamlining CI/CD and deployment processes. It delivers tangible business value by embedding innovation in the DevOps ecosystem through intelligent tooling or insights.,0.6709336328774161,0.416930533471836,0.4860813450894253
829ce181-1d28-4983-8372-941eb2d4defd,146,2024-08-07,Proposed,163,4,2,190146,5,2,22,7,Medium,False,6,2,4,29,7103,4,841184,89337,5,3,True,AI,True,4,True,False,False,4,Predictive Reveal Bot,Predictive Reveal Bot is focused on optimizing infrastructure and cloud costs. It delivers tangible business value by embedding innovation in the Cloud ecosystem through intelligent tooling or insights.,0.6358257900814167,0.4479851347896683,0.5878105761510178
ba523632-4a61-434a-8fee-7ef958678436,192,2025-01-27,Completed,45,3,1,178727,4,5,22,21,Medium,False,9,7,5,31,67509,5,816562,49604,3,3,True,,True,5,True,True,True,3,Predictive Threat Analyzer,Predictive Threat Analyzer is focused on improving compliance and threat detection. It delivers tangible business value by embedding innovation in the Security ecosystem through intelligent tooling or insights.,0.5409453055863201,0.6071999966321353,0.6071659214356633
